customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
c0000000000000000000000000000,u0000000000000000000000000000,53034,customer_city_0,GO
c0000000000000000000000000001,u0000000000000000000000000001,84719,customer_city_1,ES
c0000000000000000000000000002,u0000000000000000000000000002,16495,customer_city_2,GO
c0000000000000000000000000003,u0000000000000000000000000003,72781,customer_city_3,DF
c0000000000000000000000000004,u0000000000000000000000000004,52897,customer_city_4,SC
c0000000000000000000000000005,u0000000000000000000000000005,50479,customer_city_5,ES
c0000000000000000000000000006,u0000000000000000000000000006,33441,customer_city_6,GO
c0000000000000000000000000007,u0000000000000000000000000007,42799,customer_city_7,BA
c0000000000000000000000000008,u0000000000000000000000000008,69742,customer_city_8,RS
c0000000000000000000000000009,u0000000000000000000000000009,13119,customer_city_9,DF
c0000000000000000000000000010,u0000000000000000000000000010,63773,customer_city_10,PR
c0000000000000000000000000011,u0000000000000000000000000011,26715,customer_city_11,RS
c0000000000000000000000000012,u0000000000000000000000000012,85123,customer_city_12,SP
c0000000000000000000000000013,u0000000000000000000000000013,13624,customer_city_13,DF
c0000000000000000000000000014,u0000000000000000000000000014,73443,customer_city_14,GO
c0000000000000000000000000015,u0000000000000000000000000015,42220,customer_city_15,SP
c0000000000000000000000000016,u0000000000000000000000000016,45642,customer_city_16,BA
c0000000000000000000000000017,u0000000000000000000000000017,68166,customer_city_17,ES
c0000000000000000000000000018,u0000000000000000000000000018,36180,customer_city_18,GO
c0000000000000000000000000019,u0000000000000000000000000019,43030,customer_city_19,BA
c0000000000000000000000000020,u0000000000000000000000000020,73102,customer_city_20,SP
c0000000000000000000000000021,u0000000000000000000000000021,48124,customer_city_21,CE
c0000000000000000000000000022,u0000000000000000000000000022,78147,customer_city_22,CE
c0000000000000000000000000023,u0000000000000000000000000023,45967,customer_city_23,PE
c0000000000000000000000000024,u0000000000000000000000000024,60972,customer_city_24,RJ
c0000000000000000000000000025,u0000000000000000000000000025,25523,customer_city_25,RS
c0000000000000000000000000026,u0000000000000000000000000026,37025,customer_city_26,PR
c0000000000000000000000000027,u0000000000000000000000000027,33444,customer_city_27,SC
c0000000000000000000000000028,u0000000000000000000000000028,8780,customer_city_28,BA
c0000000000000000000000000029,u0000000000000000000000000029,20168,customer_city_29,CE
c0000000000000000000000000030,u0000000000000000000000000030,92395,customer_city_30,RS
c0000000000000000000000000031,u0000000000000000000000000031,21707,customer_city_31,GO
c0000000000000000000000000032,u0000000000000000000000000032,31689,customer_city_32,ES
c0000000000000000000000000033,u0000000000000000000000000033,18451,customer_city_33,PE
c0000000000000000000000000034,u0000000000000000000000000034,57280,customer_city_34,RS
c0000000000000000000000000035,u0000000000000000000000000035,78847,customer_city_35,RJ
c0000000000000000000000000036,u0000000000000000000000000036,41620,customer_city_36,RJ
c0000000000000000000000000037,u0000000000000000000000000037,22473,customer_city_37,GO
c0000000000000000000000000038,u0000000000000000000000000038,21618,customer_city_38,SC
c0000000000000000000000000039,u0000000000000000000000000039,16650,customer_city_39,DF
c0000000000000000000000000040,u0000000000000000000000000040,72638,customer_city_40,PR
c0000000000000000000000000041,u0000000000000000000000000041,69125,customer_city_41,ES
c0000000000000000000000000042,u0000000000000000000000000042,42688,customer_city_42,GO
c0000000000000000000000000043,u0000000000000000000000000043,43964,customer_city_43,MG
c0000000000000000000000000044,u0000000000000000000000000044,53505,customer_city_44,RS
c0000000000000000000000000045,u0000000000000000000000000045,90550,customer_city_45,ES
c0000000000000000000000000046,u0000000000000000000000000046,72258,customer_city_46,SP
c0000000000000000000000000047,u0000000000000000000000000047,14124,customer_city_47,PR
c0000000000000000000000000048,u0000000000000000000000000048,65517,customer_city_48,DF
c0000000000000000000000000049,u0000000000000000000000000049,48826,customer_city_49,RJ
c0000000000000000000000000050,u0000000000000000000000000050,23983,customer_city_0,ES
c0000000000000000000000000051,u0000000000000000000000000051,12629,customer_city_1,CE
c0000000000000000000000000052,u0000000000000000000000000052,63847,customer_city_2,BA
c0000000000000000000000000053,u0000000000000000000000000053,57534,customer_city_3,PE
c0000000000000000000000000054,u0000000000000000000000000054,12485,customer_city_4,SC
c0000000000000000000000000055,u0000000000000000000000000055,61956,customer_city_5,SC
c0000000000000000000000000056,u0000000000000000000000000056,63424,customer_city_6,SC
c0000000000000000000000000057,u0000000000000000000000000057,96302,customer_city_7,RJ
c0000000000000000000000000058,u0000000000000000000000000058,74752,customer_city_8,RJ
